City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Mount Pleasant,US,2021-11-15 16:49:49,32.7941,-79.8626,63.09,46,1,1.01
234,Farafangana,MG,2021-11-15 16:49:50,-22.8167,47.8333,75.22,89,29,2.19
235,Ailigandi,PA,2021-11-15 16:49:50,9.2333,-78.0167,81.66,80,60,5.12
236,Sabha,LY,2021-11-15 16:49:51,27.0377,14.4283,70.52,38,94,4.9
237,Ancud,CL,2021-11-15 16:47:11,-41.8697,-73.8203,53.13,72,39,10.13
238,Road Town,VG,2021-11-15 16:49:52,18.4167,-64.6167,87.84,62,40,12.66
239,Norman Wells,CA,2021-11-15 16:49:53,65.282,-126.8329,-3.96,77,75,4.61
240,Vuktyl,RU,2021-11-15 16:49:54,63.8567,57.3094,20.17,90,100,11.77
241,Rawson,AR,2021-11-15 16:49:54,-43.3002,-65.1023,57.09,46,57,23.33
242,Ilulissat,GL,2021-11-15 16:49:55,69.2167,-51.1,-1.73,87,100,4.63
243,Pampas,PE,2021-11-15 16:49:56,-12.4,-74.9,65.05,50,99,7.78
244,Vanimo,PG,2021-11-15 16:49:56,-2.6741,141.3028,75.94,90,100,3.83
245,Mount Isa,AU,2021-11-15 16:49:57,-20.7333,139.5,65.97,32,7,9.22
246,Richards Bay,ZA,2021-11-15 16:49:58,-28.783,32.0377,74.59,84,65,12.75
247,Grand-Santi,GF,2021-11-15 16:49:58,4.25,-54.3833,87.66,59,63,2.19
248,Bethel,US,2021-11-15 16:49:59,41.3712,-73.414,46.81,70,90,1.01
249,Shingu,JP,2021-11-15 16:50:00,33.7333,135.9833,51.8,78,18,6.6
250,Marawi,PH,2021-11-15 16:46:03,7.9986,124.2928,65.64,93,100,2.39
251,Mehamn,NO,2021-11-15 16:50:01,71.0357,27.8492,30.11,89,90,25.95
252,Del Rio,US,2021-11-15 16:50:02,29.3627,-100.8968,64.8,88,90,0.0
253,Kieta,PG,2021-11-15 16:50:02,-6.2167,155.6333,79.12,84,100,3.33
254,Makat,KZ,2021-11-15 16:50:03,47.6469,53.3463,34.92,99,100,1.21
255,Carnarvon,AU,2021-11-15 16:50:04,-24.8667,113.6333,69.87,78,90,17.27
256,Lagoa,PT,2021-11-15 16:50:05,39.05,-27.9833,66.7,85,6,22.57
257,Stepnyak,KZ,2021-11-15 16:50:05,52.8339,70.7803,10.65,96,59,4.14
258,Kijang,KR,2021-11-15 16:50:06,35.2442,129.2139,44.33,55,19,3.71
259,Yauya,PE,2021-11-15 16:50:07,-8.9833,-77.3,63.48,45,97,4.99
260,Kriens,CH,2021-11-15 16:50:07,47.0354,8.2763,49.78,89,90,2.3
261,Veraval,IN,2021-11-15 16:50:08,20.9,70.3667,78.1,40,16,10.38
262,Honningsvag,NO,2021-11-15 16:50:09,70.9821,25.9704,42.26,84,66,29.12
263,Umea,SE,2021-11-15 16:49:50,63.8284,20.2597,34.92,86,0,9.22
264,Toora-Khem,RU,2021-11-15 16:50:10,52.4675,96.11,23.52,95,100,2.59
265,Floro,NO,2021-11-15 16:50:10,61.5996,5.0328,48.96,100,75,18.41
266,Hasaki,JP,2021-11-15 16:50:11,35.7333,140.8333,54.0,55,37,8.05
267,Olafsvik,IS,2021-11-15 16:50:11,64.8945,-23.7142,38.53,69,88,31.92
268,Patacamaya,BO,2021-11-15 16:50:12,-17.2333,-67.9167,61.52,38,91,4.23
269,Vila Franca Do Campo,PT,2021-11-15 16:45:36,37.7167,-25.4333,73.2,81,44,12.77
270,Caranavi,BO,2021-11-15 16:50:13,-15.8167,-67.55,74.59,88,100,2.89
271,Naaldwijk,NL,2021-11-15 16:50:14,51.9942,4.2097,46.38,82,90,3.0
272,Deputatskiy,RU,2021-11-15 16:50:15,69.3,139.9,0.79,97,100,1.95
273,Natal,BR,2021-11-15 16:48:33,-5.795,-35.2094,88.45,66,75,18.41
274,Kalabo,ZM,2021-11-15 16:50:16,-14.97,22.6814,75.97,62,96,6.93
275,Pangnirtung,CA,2021-11-15 16:50:16,66.1451,-65.7125,6.8,66,20,3.44
276,Muswellbrook,AU,2021-11-15 16:46:21,-32.2667,150.9,46.69,74,1,4.43
277,Faya,SA,2021-11-15 16:50:18,18.3851,42.4509,62.71,64,1,4.76
278,Gat,IL,2021-11-15 16:50:02,31.61,34.7642,72.28,48,2,6.11
279,Abbeville,FR,2021-11-15 16:51:19,50.1,1.8333,49.96,77,76,8.3
280,Phalodi,IN,2021-11-15 16:51:20,27.1333,72.3667,71.51,15,0,4.34
281,Akdepe,TM,2021-11-15 16:51:20,42.0551,59.3788,42.8,54,94,7.45
282,Hakkari,TR,2021-11-15 16:51:21,37.5833,44.1667,44.35,40,100,4.25
283,Lubango,AO,2021-11-15 16:51:22,-14.9172,13.4925,61.32,92,100,6.24
284,Imatra,FI,2021-11-15 16:51:22,61.1719,28.7524,33.13,87,99,1.99
285,Bogalusa,US,2021-11-15 16:51:23,30.791,-89.8487,71.01,60,1,0.0
286,Berlevag,NO,2021-11-15 16:51:24,70.8578,29.0864,31.8,93,90,4.61
287,Havre,FR,2021-11-15 16:51:25,49.5833,0.3333,47.97,81,90,4.61
288,Lensk,RU,2021-11-15 16:51:25,60.7253,114.9278,17.11,98,100,2.62
289,Kodiak,US,2021-11-15 16:51:26,57.79,-152.4072,15.31,86,1,8.05
290,Abha,SA,2021-11-15 16:47:15,18.2164,42.5053,62.42,82,0,11.5
